value;time
18,48;2024-04-24 01:59:01 PM
18,51;2024-04-24 01:58:01 PM
18,65;2024-04-24 01:57:01 PM
18,70;2024-04-24 01:56:01 PM
18,82;2024-04-24 01:55:01 PM
18,91;2024-04-24 01:54:01 PM
18,99;2024-04-24 01:53:01 PM
19,16;2024-04-24 01:52:01 PM
19,30;2024-04-24 01:51:01 PM
19,41;2024-04-24 01:50:01 PM
19,44;2024-04-24 01:49:01 PM
19,59;2024-04-24 01:48:01 PM
19,64;2024-04-24 01:47:01 PM
19,69;2024-04-24 01:46:01 PM
19,81;2024-04-24 01:45:01 PM
19,91;2024-04-24 01:44:01 PM
20,01;2024-04-24 01:43:01 PM
20,03;2024-04-24 01:42:01 PM
20,12;2024-04-24 01:41:00 PM
20,12;2024-04-24 01:40:00 PM
20,18;2024-04-24 01:39:01 PM
20,23;2024-04-24 01:38:00 PM
20,25;2024-04-24 01:37:00 PM
20,39;2024-04-24 01:36:00 PM
20,49;2024-04-24 01:35:00 PM
20,51;2024-04-24 01:34:00 PM
20,70;2024-04-24 01:33:00 PM
20,75;2024-04-24 01:32:00 PM
20,81;2024-04-24 01:31:00 PM
20,82;2024-04-24 01:30:00 PM
20,83;2024-04-24 01:29:00 PM
20,88;2024-04-24 01:28:00 PM
20,92;2024-04-24 01:27:00 PM
21,02;2024-04-24 01:26:00 PM
21,08;2024-04-24 01:25:00 PM
21,07;2024-04-24 01:24:00 PM
21,16;2024-04-24 01:22:59 PM
21,23;2024-04-24 01:21:59 PM
21,18;2024-04-24 01:20:59 PM
21,19;2024-04-24 01:19:59 PM
21,13;2024-04-24 01:18:59 PM
21,20;2024-04-24 01:17:59 PM
21,19;2024-04-24 01:16:59 PM
21,14;2024-04-24 01:15:59 PM
21,21;2024-04-24 01:14:59 PM
21,13;2024-04-24 01:13:59 PM
21,17;2024-04-24 01:12:59 PM
21,20;2024-04-24 01:11:59 PM
21,18;2024-04-24 01:10:59 PM
21,17;2024-04-24 01:09:58 PM
21,18;2024-04-24 01:08:59 PM
21,18;2024-04-24 01:07:58 PM
21,21;2024-04-24 01:06:58 PM
21,18;2024-04-24 01:05:58 PM
21,24;2024-04-24 01:04:58 PM
21,24;2024-04-24 01:03:58 PM
21,26;2024-04-24 01:02:58 PM
21,24;2024-04-24 01:01:58 PM
21,22;2024-04-24 01:00:58 PM
21,17;2024-04-24 12:59:58 PM
21,18;2024-04-24 12:58:58 PM
21,14;2024-04-24 12:57:58 PM
21,20;2024-04-24 12:56:58 PM
21,25;2024-04-24 12:55:58 PM
21,23;2024-04-24 12:54:58 PM
21,26;2024-04-24 12:53:58 PM
21,25;2024-04-24 12:52:57 PM
21,26;2024-04-24 12:51:57 PM
21,21;2024-04-24 12:50:57 PM
21,23;2024-04-24 12:49:58 PM
21,19;2024-04-24 12:48:57 PM
21,17;2024-04-24 12:47:57 PM
21,17;2024-04-24 12:46:57 PM
21,09;2024-04-24 12:45:57 PM
21,07;2024-04-24 12:44:57 PM
