value;time
16,92;2024-03-24 01:59:13 PM
16,89;2024-03-24 01:58:13 PM
16,90;2024-03-24 01:57:13 PM
16,90;2024-03-24 01:56:13 PM
16,86;2024-03-24 01:55:13 PM
16,86;2024-03-24 01:54:13 PM
16,82;2024-03-24 01:53:13 PM
16,80;2024-03-24 01:52:13 PM
16,81;2024-03-24 01:51:13 PM
16,82;2024-03-24 01:50:13 PM
16,83;2024-03-24 01:49:13 PM
16,82;2024-03-24 01:48:13 PM
16,83;2024-03-24 01:47:12 PM
16,81;2024-03-24 01:46:12 PM
16,81;2024-03-24 01:45:12 PM
16,85;2024-03-24 01:44:12 PM
16,85;2024-03-24 01:43:12 PM
16,83;2024-03-24 01:42:12 PM
16,85;2024-03-24 01:41:12 PM
16,86;2024-03-24 01:40:12 PM
16,89;2024-03-24 01:39:12 PM
16,89;2024-03-24 01:38:12 PM
16,89;2024-03-24 01:37:12 PM
16,87;2024-03-24 01:36:12 PM
16,95;2024-03-24 01:35:12 PM
16,94;2024-03-24 01:34:12 PM
16,94;2024-03-24 01:33:12 PM
16,92;2024-03-24 01:32:12 PM
16,96;2024-03-24 01:31:12 PM
16,96;2024-03-24 01:30:12 PM
17,00;2024-03-24 01:29:12 PM
16,99;2024-03-24 01:28:12 PM
16,97;2024-03-24 01:27:12 PM
16,99;2024-03-24 01:26:12 PM
16,98;2024-03-24 01:25:12 PM
17,02;2024-03-24 01:24:12 PM
17,02;2024-03-24 01:23:12 PM
17,00;2024-03-24 01:22:12 PM
17,01;2024-03-24 01:21:12 PM
16,98;2024-03-24 01:20:12 PM
17,02;2024-03-24 01:19:12 PM
17,02;2024-03-24 01:18:12 PM
17,03;2024-03-24 01:17:12 PM
17,03;2024-03-24 01:16:11 PM
17,03;2024-03-24 01:15:11 PM
17,06;2024-03-24 01:14:11 PM
17,06;2024-03-24 01:13:11 PM
17,04;2024-03-24 01:12:11 PM
17,06;2024-03-24 01:11:11 PM
17,07;2024-03-24 01:10:11 PM
17,06;2024-03-24 01:09:11 PM
17,06;2024-03-24 01:08:11 PM
17,05;2024-03-24 01:07:11 PM
17,08;2024-03-24 01:06:11 PM
17,09;2024-03-24 01:05:11 PM
17,08;2024-03-24 01:04:11 PM
17,10;2024-03-24 01:03:11 PM
17,12;2024-03-24 01:02:11 PM
17,10;2024-03-24 01:01:11 PM
17,06;2024-03-24 01:00:11 PM
17,09;2024-03-24 12:59:11 PM
17,08;2024-03-24 12:58:11 PM
17,06;2024-03-24 12:57:11 PM
17,11;2024-03-24 12:56:11 PM
17,10;2024-03-24 12:55:11 PM
17,05;2024-03-24 12:54:11 PM
17,10;2024-03-24 12:52:11 PM
17,08;2024-03-24 12:51:11 PM
17,10;2024-03-24 12:50:11 PM
17,09;2024-03-24 12:49:11 PM
17,11;2024-03-24 12:48:11 PM
17,12;2024-03-24 12:47:11 PM
17,11;2024-03-24 12:46:11 PM
17,09;2024-03-24 12:45:11 PM
17,09;2024-03-24 12:44:11 PM
17,12;2024-03-24 12:43:11 PM
17,12;2024-03-24 12:42:11 PM
17,11;2024-03-24 12:41:11 PM
17,11;2024-03-24 12:40:11 PM
17,11;2024-03-24 12:39:11 PM
17,11;2024-03-24 12:38:11 PM
17,10;2024-03-24 12:37:11 PM
17,13;2024-03-24 12:36:11 PM
17,12;2024-03-24 12:35:11 PM
17,14;2024-03-24 12:34:11 PM
17,11;2024-03-24 12:33:11 PM
17,12;2024-03-24 12:32:11 PM
17,12;2024-03-24 12:31:11 PM
17,10;2024-03-24 12:30:11 PM
17,15;2024-03-24 12:29:11 PM
17,20;2024-03-24 12:28:11 PM
17,17;2024-03-24 12:27:11 PM
17,16;2024-03-24 12:26:12 PM
17,20;2024-03-24 12:25:11 PM
17,20;2024-03-24 12:24:11 PM
17,21;2024-03-24 12:23:11 PM
17,21;2024-03-24 12:22:11 PM
17,20;2024-03-24 12:21:11 PM
17,27;2024-03-24 12:20:11 PM
17,26;2024-03-24 12:19:11 PM
17,21;2024-03-24 12:18:11 PM
17,22;2024-03-24 12:17:11 PM
17,17;2024-03-24 12:16:11 PM
17,15;2024-03-24 12:15:11 PM
17,28;2024-03-24 12:14:11 PM
17,23;2024-03-24 12:13:11 PM
17,24;2024-03-24 12:12:11 PM
17,24;2024-03-24 12:11:11 PM
17,19;2024-03-24 12:10:11 PM
17,12;2024-03-24 12:09:10 PM
17,13;2024-03-24 12:08:10 PM
17,11;2024-03-24 12:07:10 PM
17,11;2024-03-24 12:06:10 PM
17,11;2024-03-24 12:05:10 PM
17,14;2024-03-24 12:04:10 PM
17,11;2024-03-24 12:03:10 PM
17,07;2024-03-24 12:02:10 PM
17,09;2024-03-24 12:01:10 PM
17,08;2024-03-24 12:00:10 PM
17,12;2024-03-24 11:59:10 AM
17,10;2024-03-24 11:58:10 AM
17,08;2024-03-24 11:57:10 AM
17,08;2024-03-24 11:56:10 AM
17,08;2024-03-24 11:55:10 AM
17,09;2024-03-24 11:54:09 AM
17,06;2024-03-24 11:53:09 AM
17,08;2024-03-24 11:52:09 AM
17,06;2024-03-24 11:51:09 AM
17,05;2024-03-24 11:50:09 AM
17,05;2024-03-24 11:49:09 AM
17,05;2024-03-24 11:48:09 AM
17,05;2024-03-24 11:47:09 AM
17,03;2024-03-24 11:46:09 AM
17,05;2024-03-24 11:45:09 AM
17,05;2024-03-24 11:44:09 AM
17,05;2024-03-24 11:43:09 AM
17,03;2024-03-24 11:42:09 AM
17,03;2024-03-24 11:41:09 AM
17,06;2024-03-24 11:40:08 AM
17,04;2024-03-24 11:39:08 AM
17,03;2024-03-24 11:38:08 AM
17,02;2024-03-24 11:37:08 AM
17,00;2024-03-24 11:36:09 AM
17,00;2024-03-24 11:35:08 AM
17,01;2024-03-24 11:34:08 AM
17,01;2024-03-24 11:33:08 AM
16,99;2024-03-24 11:32:08 AM
16,99;2024-03-24 11:31:08 AM
16,97;2024-03-24 11:30:08 AM
16,98;2024-03-24 11:29:08 AM
16,97;2024-03-24 11:28:08 AM
16,95;2024-03-24 11:27:08 AM
16,94;2024-03-24 11:26:08 AM
16,95;2024-03-24 11:25:08 AM
16,91;2024-03-24 11:24:07 AM
16,91;2024-03-24 11:23:07 AM
16,92;2024-03-24 11:22:07 AM
16,91;2024-03-24 11:21:07 AM
16,92;2024-03-24 11:20:07 AM
16,95;2024-03-24 11:19:07 AM
16,95;2024-03-24 11:18:07 AM
16,97;2024-03-24 11:17:07 AM
16,96;2024-03-24 11:16:07 AM
16,99;2024-03-24 11:15:07 AM
17,02;2024-03-24 11:14:07 AM
17,07;2024-03-24 11:13:07 AM
17,07;2024-03-24 11:12:08 AM
17,08;2024-03-24 11:11:07 AM
17,10;2024-03-24 11:10:07 AM
17,10;2024-03-24 11:09:07 AM
17,12;2024-03-24 11:08:07 AM
17,09;2024-03-24 11:07:07 AM
17,09;2024-03-24 11:06:07 AM
17,12;2024-03-24 11:05:07 AM
17,11;2024-03-24 11:04:07 AM
17,14;2024-03-24 11:03:07 AM
17,12;2024-03-24 11:02:07 AM
17,09;2024-03-24 11:01:07 AM
17,17;2024-03-24 11:00:07 AM
17,16;2024-03-24 10:59:07 AM
17,14;2024-03-24 10:58:07 AM
17,18;2024-03-24 10:57:07 AM
17,20;2024-03-24 10:56:07 AM
17,16;2024-03-24 10:55:07 AM
17,20;2024-03-24 10:54:07 AM
17,16;2024-03-24 10:53:07 AM
17,19;2024-03-24 10:52:07 AM
17,15;2024-03-24 10:51:07 AM
17,14;2024-03-24 10:50:07 AM
17,16;2024-03-24 10:49:07 AM
17,14;2024-03-24 10:48:07 AM
17,14;2024-03-24 10:47:07 AM
17,15;2024-03-24 10:46:07 AM
17,14;2024-03-24 10:45:07 AM
17,14;2024-03-24 10:44:07 AM
17,13;2024-03-24 10:43:07 AM
17,13;2024-03-24 10:42:06 AM
17,10;2024-03-24 10:41:06 AM
17,14;2024-03-24 10:40:07 AM
17,14;2024-03-24 10:39:06 AM
17,14;2024-03-24 10:38:07 AM
17,15;2024-03-24 10:37:07 AM
17,13;2024-03-24 10:36:07 AM
17,15;2024-03-24 10:35:07 AM
17,14;2024-03-24 10:34:07 AM
17,13;2024-03-24 10:33:07 AM
17,17;2024-03-24 10:32:07 AM
17,14;2024-03-24 10:31:07 AM
17,14;2024-03-24 10:30:07 AM
17,13;2024-03-24 10:29:07 AM
17,13;2024-03-24 10:28:07 AM
17,11;2024-03-24 10:27:07 AM
17,13;2024-03-24 10:26:07 AM
17,12;2024-03-24 10:25:07 AM
17,12;2024-03-24 10:24:07 AM
17,11;2024-03-24 10:23:07 AM
17,11;2024-03-24 10:22:06 AM
17,14;2024-03-24 10:21:06 AM
17,10;2024-03-24 10:20:07 AM
17,11;2024-03-24 10:19:06 AM
17,10;2024-03-24 10:18:06 AM
17,09;2024-03-24 10:17:06 AM
17,12;2024-03-24 10:16:06 AM
17,10;2024-03-24 10:15:06 AM
17,11;2024-03-24 10:14:06 AM
17,09;2024-03-24 10:13:06 AM
17,12;2024-03-24 10:12:06 AM
17,11;2024-03-24 10:11:06 AM
17,09;2024-03-24 10:10:06 AM
17,09;2024-03-24 10:09:06 AM
17,10;2024-03-24 10:08:06 AM
17,13;2024-03-24 10:07:06 AM
17,11;2024-03-24 10:06:06 AM
17,11;2024-03-24 10:05:06 AM
17,12;2024-03-24 10:04:05 AM
17,12;2024-03-24 10:03:05 AM
17,12;2024-03-24 10:02:05 AM
17,10;2024-03-24 10:01:05 AM
17,14;2024-03-24 10:00:05 AM
17,13;2024-03-24 09:59:05 AM
17,11;2024-03-24 09:58:05 AM
17,09;2024-03-24 09:57:05 AM
17,09;2024-03-24 09:56:05 AM
17,10;2024-03-24 09:55:05 AM
17,09;2024-03-24 09:54:05 AM
17,09;2024-03-24 09:53:04 AM
17,09;2024-03-24 09:52:05 AM
17,08;2024-03-24 09:51:04 AM
17,05;2024-03-24 09:50:05 AM
