value;time
60,73;2024-05-15 09:00:07 AM
60,71;2024-05-15 08:59:07 AM
60,74;2024-05-15 08:58:07 AM
60,75;2024-05-15 08:57:07 AM
60,74;2024-05-15 08:56:07 AM
60,77;2024-05-15 08:55:07 AM
60,72;2024-05-15 08:54:06 AM
60,77;2024-05-15 08:53:06 AM
60,80;2024-05-15 08:52:06 AM
60,85;2024-05-15 08:51:06 AM
60,85;2024-05-15 08:50:06 AM
60,85;2024-05-15 08:49:06 AM
60,92;2024-05-15 08:48:06 AM
60,87;2024-05-15 08:47:06 AM
60,83;2024-05-15 08:46:06 AM
60,84;2024-05-15 08:45:06 AM
60,91;2024-05-15 08:44:06 AM
60,94;2024-05-15 08:43:06 AM
60,95;2024-05-15 08:42:06 AM
61,04;2024-05-15 08:41:06 AM
61,16;2024-05-15 08:40:06 AM
61,17;2024-05-15 08:39:06 AM
61,32;2024-05-15 08:38:06 AM
61,31;2024-05-15 08:37:05 AM
61,39;2024-05-15 08:36:05 AM
61,36;2024-05-15 08:35:05 AM
61,41;2024-05-15 08:34:05 AM
61,41;2024-05-15 08:33:06 AM
61,54;2024-05-15 08:32:05 AM
61,28;2024-05-15 08:31:05 AM
61,25;2024-05-15 08:30:05 AM
61,29;2024-05-15 08:29:05 AM
61,27;2024-05-15 08:28:05 AM
61,23;2024-05-15 08:27:05 AM
61,45;2024-05-15 08:26:05 AM
61,21;2024-05-15 08:25:05 AM
61,12;2024-05-15 08:24:05 AM
61,06;2024-05-15 08:23:05 AM
61,01;2024-05-15 08:22:05 AM
60,77;2024-05-15 08:21:05 AM
60,81;2024-05-15 08:20:05 AM
60,66;2024-05-15 08:19:04 AM
60,69;2024-05-15 08:18:04 AM
60,51;2024-05-15 08:17:04 AM
60,40;2024-05-15 08:16:04 AM
59,98;2024-05-15 08:15:04 AM
60,05;2024-05-15 08:14:05 AM
59,68;2024-05-15 08:13:04 AM
59,51;2024-05-15 08:12:04 AM
59,24;2024-05-15 08:11:04 AM
58,87;2024-05-15 08:10:04 AM
58,48;2024-05-15 08:09:04 AM
58,30;2024-05-15 08:08:04 AM
58,29;2024-05-15 08:07:04 AM
58,35;2024-05-15 08:06:04 AM
58,21;2024-05-15 08:05:04 AM
58,21;2024-05-15 08:04:04 AM
58,18;2024-05-15 08:03:04 AM
58,25;2024-05-15 08:02:04 AM
58,18;2024-05-15 08:01:03 AM
58,18;2024-05-15 08:00:03 AM
58,25;2024-05-15 07:59:03 AM
58,15;2024-05-15 07:58:03 AM
58,14;2024-05-15 07:57:03 AM
58,14;2024-05-15 07:56:03 AM
57,97;2024-05-15 07:55:03 AM
58,07;2024-05-15 07:54:03 AM
58,05;2024-05-15 07:53:03 AM
58,14;2024-05-15 07:52:03 AM
58,06;2024-05-15 07:51:03 AM
58,17;2024-05-15 07:50:03 AM
58,11;2024-05-15 07:49:03 AM
58,10;2024-05-15 07:48:03 AM
58,10;2024-05-15 07:47:03 AM
58,11;2024-05-15 07:46:03 AM
58,02;2024-05-15 07:45:03 AM
58,07;2024-05-15 07:44:02 AM
58,11;2024-05-15 07:43:02 AM
58,07;2024-05-15 07:42:02 AM
58,19;2024-05-15 07:41:02 AM
58,16;2024-05-15 07:40:03 AM
58,11;2024-05-15 07:39:02 AM
58,16;2024-05-15 07:38:02 AM
58,22;2024-05-15 07:37:02 AM
58,22;2024-05-15 07:36:02 AM
58,08;2024-05-15 07:35:02 AM
