value;time
25,76;2024-05-15 09:00:07 AM
25,84;2024-05-15 08:59:07 AM
25,93;2024-05-15 08:58:07 AM
25,93;2024-05-15 08:57:07 AM
25,89;2024-05-15 08:56:07 AM
25,84;2024-05-15 08:55:07 AM
25,87;2024-05-15 08:54:06 AM
25,92;2024-05-15 08:53:06 AM
25,93;2024-05-15 08:52:06 AM
25,85;2024-05-15 08:51:06 AM
25,92;2024-05-15 08:50:06 AM
25,92;2024-05-15 08:49:06 AM
25,86;2024-05-15 08:48:06 AM
25,79;2024-05-15 08:47:06 AM
25,77;2024-05-15 08:46:06 AM
25,79;2024-05-15 08:45:06 AM
25,76;2024-05-15 08:44:06 AM
25,75;2024-05-15 08:43:06 AM
25,76;2024-05-15 08:42:06 AM
25,78;2024-05-15 08:41:06 AM
25,70;2024-05-15 08:40:06 AM
25,73;2024-05-15 08:39:06 AM
25,65;2024-05-15 08:38:06 AM
25,64;2024-05-15 08:37:05 AM
25,72;2024-05-15 08:36:05 AM
25,73;2024-05-15 08:35:05 AM
25,69;2024-05-15 08:34:05 AM
25,56;2024-05-15 08:33:06 AM
25,52;2024-05-15 08:32:05 AM
25,55;2024-05-15 08:31:05 AM
25,57;2024-05-15 08:30:05 AM
25,56;2024-05-15 08:29:05 AM
25,43;2024-05-15 08:28:05 AM
25,47;2024-05-15 08:27:05 AM
25,49;2024-05-15 08:26:05 AM
25,40;2024-05-15 08:25:05 AM
25,48;2024-05-15 08:24:05 AM
25,41;2024-05-15 08:23:05 AM
25,40;2024-05-15 08:22:05 AM
25,40;2024-05-15 08:21:05 AM
25,37;2024-05-15 08:20:05 AM
25,34;2024-05-15 08:19:04 AM
25,25;2024-05-15 08:18:04 AM
25,23;2024-05-15 08:17:04 AM
25,12;2024-05-15 08:16:04 AM
25,07;2024-05-15 08:15:04 AM
24,97;2024-05-15 08:14:05 AM
25,04;2024-05-15 08:13:04 AM
24,98;2024-05-15 08:12:04 AM
24,85;2024-05-15 08:11:04 AM
24,91;2024-05-15 08:10:04 AM
24,83;2024-05-15 08:09:04 AM
24,87;2024-05-15 08:08:04 AM
24,81;2024-05-15 08:07:04 AM
24,82;2024-05-15 08:06:04 AM
24,81;2024-05-15 08:05:04 AM
24,88;2024-05-15 08:04:04 AM
24,89;2024-05-15 08:03:04 AM
24,86;2024-05-15 08:02:04 AM
24,86;2024-05-15 08:01:03 AM
24,86;2024-05-15 08:00:03 AM
24,84;2024-05-15 07:59:03 AM
24,87;2024-05-15 07:58:03 AM
24,84;2024-05-15 07:57:03 AM
24,87;2024-05-15 07:56:03 AM
24,94;2024-05-15 07:55:03 AM
24,91;2024-05-15 07:54:03 AM
24,97;2024-05-15 07:53:03 AM
24,91;2024-05-15 07:52:03 AM
24,93;2024-05-15 07:51:03 AM
24,92;2024-05-15 07:50:03 AM
24,85;2024-05-15 07:49:03 AM
24,90;2024-05-15 07:48:03 AM
24,79;2024-05-15 07:47:03 AM
24,90;2024-05-15 07:46:03 AM
24,90;2024-05-15 07:45:03 AM
24,94;2024-05-15 07:44:02 AM
24,87;2024-05-15 07:43:02 AM
24,97;2024-05-15 07:42:02 AM
25,05;2024-05-15 07:41:02 AM
25,01;2024-05-15 07:40:03 AM
25,01;2024-05-15 07:39:02 AM
24,99;2024-05-15 07:38:02 AM
25,05;2024-05-15 07:37:02 AM
25,01;2024-05-15 07:36:02 AM
24,98;2024-05-15 07:35:02 AM
24,94;2024-05-15 07:34:02 AM
24,90;2024-05-15 07:33:02 AM
24,93;2024-05-15 07:32:02 AM
24,85;2024-05-15 07:31:02 AM
24,86;2024-05-15 07:30:02 AM
24,85;2024-05-15 07:29:02 AM
24,85;2024-05-15 07:28:01 AM
24,78;2024-05-15 07:27:02 AM
24,81;2024-05-15 07:26:01 AM
24,71;2024-05-15 07:25:01 AM
24,82;2024-05-15 07:24:01 AM
24,80;2024-05-15 07:23:01 AM
24,83;2024-05-15 07:22:01 AM
24,80;2024-05-15 07:21:01 AM
24,81;2024-05-15 07:20:01 AM
24,86;2024-05-15 07:19:01 AM
24,91;2024-05-15 07:18:01 AM
24,81;2024-05-15 07:17:01 AM
24,84;2024-05-15 07:16:01 AM
24,77;2024-05-15 07:15:01 AM
24,82;2024-05-15 07:14:01 AM
24,83;2024-05-15 07:13:01 AM
24,84;2024-05-15 07:12:01 AM
24,85;2024-05-15 07:11:00 AM
24,83;2024-05-15 07:10:01 AM
24,84;2024-05-15 07:09:00 AM
24,86;2024-05-15 07:08:00 AM
24,86;2024-05-15 07:07:00 AM
24,83;2024-05-15 07:06:00 AM
24,89;2024-05-15 07:05:00 AM
24,81;2024-05-15 07:04:00 AM
24,91;2024-05-15 07:03:00 AM
24,90;2024-05-15 07:02:00 AM
24,91;2024-05-15 07:01:00 AM
24,95;2024-05-15 07:00:00 AM
24,86;2024-05-15 06:59:00 AM
24,82;2024-05-15 06:58:00 AM
24,82;2024-05-15 06:57:00 AM
24,80;2024-05-15 06:56:00 AM
24,74;2024-05-15 06:55:00 AM
24,73;2024-05-15 06:54:00 AM
24,64;2024-05-15 06:53:00 AM
24,61;2024-05-15 06:51:59 AM
24,61;2024-05-15 06:50:59 AM
24,56;2024-05-15 06:49:59 AM
24,46;2024-05-15 06:48:59 AM
24,48;2024-05-15 06:47:59 AM
24,53;2024-05-15 06:46:59 AM
24,54;2024-05-15 06:45:59 AM
24,61;2024-05-15 06:44:59 AM
24,58;2024-05-15 06:43:59 AM
24,63;2024-05-15 06:42:59 AM
24,75;2024-05-15 06:41:59 AM
24,75;2024-05-15 06:40:59 AM
24,70;2024-05-15 06:39:59 AM
24,62;2024-05-15 06:38:59 AM
24,69;2024-05-15 06:37:59 AM
24,69;2024-05-15 06:36:59 AM
24,62;2024-05-15 06:35:59 AM
24,58;2024-05-15 06:34:58 AM
24,52;2024-05-15 06:33:58 AM
24,52;2024-05-15 06:32:58 AM
24,53;2024-05-15 06:31:58 AM
24,52;2024-05-15 06:30:59 AM
24,49;2024-05-15 06:29:58 AM
24,46;2024-05-15 06:28:58 AM
24,39;2024-05-15 06:27:58 AM
24,33;2024-05-15 06:26:58 AM
24,38;2024-05-15 06:25:59 AM
24,37;2024-05-15 06:24:58 AM
24,44;2024-05-15 06:23:58 AM
24,37;2024-05-15 06:22:58 AM
24,35;2024-05-15 06:21:58 AM
24,30;2024-05-15 06:20:58 AM
24,34;2024-05-15 06:19:58 AM
24,27;2024-05-15 06:18:58 AM
24,25;2024-05-15 06:17:57 AM
24,30;2024-05-15 06:16:57 AM
24,23;2024-05-15 06:15:57 AM
24,26;2024-05-15 06:14:57 AM
24,23;2024-05-15 06:13:57 AM
24,21;2024-05-15 06:12:57 AM
24,18;2024-05-15 06:11:57 AM
24,19;2024-05-15 06:10:57 AM
24,20;2024-05-15 06:09:57 AM
24,14;2024-05-15 06:08:57 AM
24,09;2024-05-15 06:07:57 AM
24,10;2024-05-15 06:06:57 AM
24,04;2024-05-15 06:05:57 AM
24,10;2024-05-15 06:04:57 AM
24,09;2024-05-15 06:03:57 AM
24,10;2024-05-15 06:02:57 AM
24,07;2024-05-15 06:01:57 AM
23,96;2024-05-15 06:00:57 AM
23,99;2024-05-15 05:59:57 AM
23,97;2024-05-15 05:58:57 AM
24,00;2024-05-15 05:57:56 AM
23,91;2024-05-15 05:56:56 AM
23,88;2024-05-15 05:55:57 AM
23,89;2024-05-15 05:54:56 AM
23,82;2024-05-15 05:53:56 AM
23,75;2024-05-15 05:52:56 AM
23,69;2024-05-15 05:51:56 AM
23,62;2024-05-15 05:50:56 AM
23,53;2024-05-15 05:49:56 AM
23,47;2024-05-15 05:48:56 AM
23,51;2024-05-15 05:47:56 AM
23,34;2024-05-15 05:46:56 AM
23,25;2024-05-15 05:45:56 AM
23,16;2024-05-15 05:44:56 AM
23,05;2024-05-15 05:43:56 AM
23,06;2024-05-15 05:42:55 AM
22,98;2024-05-15 05:41:55 AM
22,88;2024-05-15 05:40:56 AM
22,71;2024-05-15 05:39:55 AM
22,69;2024-05-15 05:38:55 AM
22,71;2024-05-15 05:37:55 AM
22,74;2024-05-15 05:36:55 AM
22,79;2024-05-15 05:35:56 AM
22,94;2024-05-15 05:34:55 AM
23,13;2024-05-15 05:33:55 AM
23,24;2024-05-15 05:32:55 AM
23,39;2024-05-15 05:31:55 AM
23,54;2024-05-15 05:30:55 AM
23,65;2024-05-15 05:29:55 AM
23,76;2024-05-15 05:28:55 AM
23,94;2024-05-15 05:27:55 AM
23,92;2024-05-15 05:26:55 AM
24,02;2024-05-15 05:25:55 AM
24,14;2024-05-15 05:24:55 AM
24,19;2024-05-15 05:23:54 AM
24,30;2024-05-15 05:22:54 AM
24,48;2024-05-15 05:21:54 AM
24,36;2024-05-15 05:20:54 AM
24,30;2024-05-15 05:19:54 AM
24,22;2024-05-15 05:18:54 AM
24,19;2024-05-15 05:17:54 AM
24,17;2024-05-15 05:16:54 AM
24,20;2024-05-15 05:15:54 AM
24,18;2024-05-15 05:14:54 AM
23,97;2024-05-15 05:13:54 AM
23,89;2024-05-15 05:12:54 AM
23,91;2024-05-15 05:11:54 AM
23,90;2024-05-15 05:10:54 AM
23,81;2024-05-15 05:09:54 AM
23,70;2024-05-15 05:08:54 AM
23,75;2024-05-15 05:07:54 AM
23,74;2024-05-15 05:06:54 AM
23,68;2024-05-15 05:05:53 AM
23,70;2024-05-15 05:04:53 AM
23,62;2024-05-15 05:03:53 AM
23,65;2024-05-15 05:02:53 AM
